,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,heavy_ball,f,0,13,0.0001,,[-12 -20],,,0.25,0.5,0.01,,0,4,8
1,heavy_ball,f,1,8.19908608000001,0.0001,,[-12 -20],,,0.25,0.5,0.01,,[-0.120000000000000 -0.200000000000000],4.12000000000000,8.20000000000000
2,heavy_ball,f,2,4.52589172700606,0.0001,,[-8.17766400000000 -16.0000000000000],,,0.25,0.5,0.01,,[-0.111776640000000 -0.210000000000000],4.23177664000000,8.41000000000000
3,heavy_ball,f,3,2.42369467228298,0.0001,,[-5.44056211467491 -11.8000000000000],,,0.25,0.5,0.01,,[-0.0823497811467491 -0.170500000000000],4.31412642114675,8.58050000000000
4,heavy_ball,f,4,1.32071849363223,0.0001,,[-3.87180490837968 -8.38999999999999],,,0.25,0.5,0.01,,[-0.0593054943704841 -0.126525000000000],4.37343191551723,8.70702500000000
5,heavy_ball,f,5,0.755802068018233,0.0001,,[-2.95179405930913 -5.85950000000000],,,0.25,0.5,0.01,,[-0.0443443141857123 -0.0902262500000000],4.41777622970295,8.79725125000000
6,heavy_ball,f,6,0.464470774429900,0.0001,,[-2.36837813459059 -4.05497499999998],,,0.25,0.5,0.01,,[-0.0347698598923340 -0.0631063124999998],4.45254608959528,8.86035756250000
7,heavy_ball,f,7,0.309827375833848,0.0001,,[-1.96890124117499 -2.79284874999999],,,0.25,0.5,0.01,,[-0.0283814773848334 -0.0437050656249999],4.48092756698011,8.90406262812500
8,heavy_ball,f,8,0.223722122601482,0.0001,,[-1.67828278873507 -1.91874743749997],,,0.25,0.5,0.01,,[-0.0238781972335590 -0.0301137407812497],4.50480576421367,8.93417636890625
9,heavy_ball,f,9,0.172641818699089,0.0001,,[-1.45716250684033 -1.31647262187499],,,0.25,0.5,0.01,,[-0.0205411743767931 -0.0206931614140624],4.52534693859046,8.95486953032031
10,heavy_ball,f,10,0.140060974932771,0.0001,,[-1.28324654906303 -0.902609393593764],,,0.25,0.5,0.01,,[-0.0179677590848285 -0.0141993842894532],4.54331469767529,8.96906891460977
11,heavy_ball,f,11,0.117717893363780,0.0001,,[-1.14296347033135 -0.618621707804692],,,0.25,0.5,0.01,,[-0.0159215744745206 -0.00973606315041023],4.55923627214981,8.97880497776018
12,heavy_ball,f,12,0.101381556733270,0.0001,,[-1.02754012212909 -0.423900444796487],,,0.25,0.5,0.01,,[-0.0142557948399211 -0.00667302023556743],4.57349206698974,8.98547799799574
13,heavy_ball,f,13,0.0888081788725719,0.0001,,[-0.931027665633264 -0.290440040085144],,,0.25,0.5,0.01,,[-0.0128742253663129 -0.00457265545974330],4.58636629235605,8.99005065345549
14,heavy_ball,f,14,0.0787519974638091,0.0001,,[-0.849237209473614 -0.198986930890300],,,0.25,0.5,0.01,,[-0.0117109284363144 -0.00313303317383882],4.59807722079236,8.99318368662932
15,heavy_ball,f,15,0.0704821463118167,0.0001,,[-0.779128531490300 -0.136326267413523],,,0.25,0.5,0.01,,[-0.0107190174239816 -0.00214652096759493],4.60879623821634,8.99533020759692
16,heavy_ball,f,16,0.0635431897744086,0.0001,,[-0.718439683509950 -0.0933958480616184],,,0.25,0.5,0.01,,[-0.00986415119109490 -0.00147058872251492],4.61866038940744,8.99680079631943
17,heavy_ball,f,17,0.0576338666076140,0.0001,,[-0.665452410085916 -0.0639840736113229],,,0.25,0.5,0.01,,[-0.00912056189863288 -0.00100748791674196],4.62778095130607,8.99780828423618
18,heavy_ball,f,18,0.0525438830550553,0.0001,,[-0.618838080746074 -0.0438343152765128],,,0.25,0.5,0.01,,[-0.00846852128211896 -0.000690215131950618],4.63624947258819,8.99849849936813
19,heavy_ball,f,19,0.0481197131073176,0.0001,,[-0.577553395040108 -0.0300300126374964],,,0.25,0.5,0.01,,[-0.00789266427093082 -0.000472853909362618],4.64414213685912,8.99897135327749
20,heavy_ball,f,20,0.0442452412298990,0.0001,,[-0.540767952034541 -0.0205729344502288],,,0.25,0.5,0.01,,[-0.00738084558807812 -0.000323942821842942],4.65152298244720,8.99929529609933
21,heavy_ball,f,21,0.0408302379850733,0.0001,,[-0.507812830409336 -0.0140940780133576],,,0.25,0.5,0.01,,[-0.00692333970111289 -0.000221926485594312],4.65844632214831,8.99951722258493
22,heavy_ball,f,22,0.0378031307434765,0.0001,,[-0.478143377070903 -0.00965554830148108],,,0.25,0.5,0.01,,[-0.00651226869598726 -0.000152037104413389],4.66495859084430,8.99966925968934
23,heavy_ball,f,23,0.0351062371261976,0.0001,,[-0.451311817810296 -0.00661480621320720],,,0.25,0.5,0.01,,[-0.00614118535209978 -0.000104157338235419],4.67109977619640,8.99977341702757
24,heavy_ball,f,24,0.0326924806549087,0.0001,,[-0.426946790388646 -0.00453165944850298],,,0.25,0.5,0.01,,[-0.00580476424191141 -7.13559290438846e-5],4.67690454043831,8.99984477295662
25,heavy_ball,f,25,0.0305230429945342,0.0001,,[-0.404737841192927 -0.00310454086761069],,,0.25,0.5,0.01,,[-0.00549856947240713 -4.88843909370781e-5],4.68240310991072,8.99989365734756
26,heavy_ball,f,26,0.0285656355100688,0.0001,,[-0.384423536368462 -0.00212685304887827],,,0.25,0.5,0.01,,[-0.00521887773178640 -3.34896282230523e-5],4.68762198764250,8.99992714697578
27,heavy_ball,f,27,0.0267931969081765,0.0001,,[-0.365782242083619 -0.00145706048442662],,,0.25,0.5,0.01,,[-0.00496254185378280 -2.29430119000293e-5],4.69258452949629,8.99995008998768
28,heavy_ball,f,28,0.0251828938470182,0.0001,,[-0.348624901071914 -0.000998200246442593],,,0.25,0.5,0.01,,[-0.00472688447416484 -1.57177554394333e-5],4.69731141397045,8.99996580774312
29,heavy_ball,f,29,0.0237153427690184,0.0001,,[-0.332789319693153 -0.000683845137643857],,,0.25,0.5,0.01,,[-0.00450961431547274 -1.07678902362969e-5],4.70182102828592,8.99997657563335
30,heavy_ball,f,30,0.0223739967151965,0.0001,,[-0.318135610243496 -0.000468487332909717],,,0.25,0.5,0.01,,[-0.00430875968130314 -7.37684588817139e-6],4.70612978796723,8.99998395247924
31,heavy_ball,f,31,0.0211446572697671,0.0001,,[-0.304542525561891 -0.000320950415158450],,,0.25,0.5,0.01,,[-0.00412261517594470 -5.05371562362734e-6],4.71025240314317,8.99998900619487
32,heavy_ball,f,32,0.0200150827164888,0.0001,,[-0.291904489155473 -0.000219876102676153],,,0.25,0.5,0.01,,[-0.00394969868554091 -3.46218993266837e-6],4.71420210182871,8.99999246838480
33,heavy_ball,f,33,0.0189746710162847,0.0001,,[-0.280129172080067 -0.000150632304041665],,,0.25,0.5,0.01,,[-0.00378871639218590 -2.37187052358374e-6],4.71799081822090,8.99999484025532
34,heavy_ball,f,34,0.0180142015371936,0.0001,,[-0.269135503040720 -0.000103194893540604],,,0.25,0.5,0.01,,[-0.00363853412845367 -1.62491656630197e-6],4.72162935234935,8.99999646517189
35,heavy_ball,f,35,0.0171256233105722,0.0001,,[-0.258852024296055 -7.06965622327971e-5],,,0.25,0.5,0.01,,[-0.00349815377507397 -1.11319476390346e-6],4.72512750612443,8.99999757836665
36,heavy_ball,f,36,0.0163018804109607,0.0001,,[-0.249215525503710 -4.84326669720758e-5],,,0.25,0.5,0.01,,[-0.00336669369880559 -7.62625360696624e-7],4.72849419982323,8.99999834099201
37,heavy_ball,f,37,0.0155367671611723,0.0001,,[-0.240169902415698 -3.31801597894810e-5],,,0.25,0.5,0.01,,[-0.00324337244885838 -5.22457938068966e-7],4.73173757227209,8.99999886344995
38,heavy_ball,f,38,0.0148248074508955,0.0001,,[-0.231665198587010 -2.27310010245674e-5],,,0.25,0.5,0.01,,[-0.00312749509808469 -3.57924494762915e-7],4.73486506737018,8.99999922137444
39,heavy_ball,f,39,0.0141611536658030,0.0001,,[-0.223656796903951 -1.55725111028460e-5],,,0.25,0.5,0.01,,[-0.00301844174356069 -2.45206234719188e-7],4.73788350911374,8.99999946658068
40,heavy_ball,f,40,0.0135415016530666,0.0001,,[-0.216104734426685 -1.06683864373736e-5],,,0.25,0.5,0.01,,[-0.00291565778015702 -1.67985423053533e-7],4.74079916689389,8.99999963456610
