,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,heavy_ball,f,0,13,0.0001,,[-12 -20],,,0.9,0.5,0.01,,0,4,8
1,heavy_ball,f,1,8.19908608000001,0.0001,,[-12 -20],,,0.9,0.5,0.01,,[-0.120000000000000 -0.200000000000000],4.12000000000000,8.20000000000000
2,heavy_ball,f,2,2.79689456687982,0.0001,,[-8.17766400000000 -16.0000000000000],,,0.9,0.5,0.01,,[-0.189776640000000 -0.340000000000000],4.30977664000000,8.54000000000000
3,heavy_ball,f,3,0.197646047844707,0.0001,,[-3.94593754044961 -9.20000000000002],,,0.9,0.5,0.01,,[-0.210258351404496 -0.398000000000000],4.52003499140450,8.93800000000000
4,heavy_ball,f,4,0.970120348760096,0.0001,,[-1.32681378845164 -1.24000000000001],,,0.9,0.5,0.01,,[-0.202500654148563 -0.370600000000000],4.72253564555306,9.30860000000000
5,heavy_ball,f,5,3.36909482457988,0.0001,,[-0.256332007699477 6.17199999999997],,,0.9,0.5,0.01,,[-0.184813908810701 -0.271820000000001],4.90734955436376,9.58042000000000
6,heavy_ball,f,6,5.02653020946207,0.0001,,[-0.00954385392881672 11.6084000000000],,,0.9,0.5,0.01,,[-0.166427956468919 -0.128554000000001],5.07377751083268,9.70897400000000
7,heavy_ball,f,7,4.67070851954724,0.0001,,[0.00481895911515719 14.1794800000000],,,0.9,0.5,0.01,,[-0.149736971230876 0.0260961999999990],5.22351448206356,9.68287780000000
8,heavy_ball,f,8,2.78205792152859,0.0001,,[0.133997979007259 13.6575560000000],,,0.9,0.5,0.01,,[-0.133423294317716 0.160062139999999],5.35693777638127,9.52281566000000
9,heavy_ball,f,9,0.900183574615804,0.0001,,[0.545706073589810 10.4563132000000],,,0.9,0.5,0.01,,[-0.114623904150046 0.248619057999999],5.47156168053132,9.27419660200000
10,heavy_ball,f,10,0.299763842118641,0.0001,,[1.25833641923734 5.48393204000004],,,0.9,0.5,0.01,,[-0.0905781495426681 0.278596472600000],5.56213983007399,8.99560012940000
11,heavy_ball,f,11,1.09649594232052,0.0001,,[2.13164225325393 -0.0879974119999645],,,0.9,0.5,0.01,,[-0.0602039120558619 0.249856851220000],5.62234374212985,8.74574327818000
12,heavy_ball,f,12,2.36186884766986,0.0001,,[2.89249240218182 -5.08513443639998],,,0.9,0.5,0.01,,[-0.0252585968284575 0.174019821734000],5.64760233895830,8.57172345644600
13,heavy_ball,f,13,2.98865187248441,0.0001,,[3.25916593156857 -8.56553087107997],,,0.9,0.5,0.01,,[0.00985892217007396 0.0709625308498006],5.63774341678823,8.50076092559620
